Sr. No.,Year,CATEGORY,TITLE,DIRECTOR,PRODUCER,LANGUAGE,AWARDS
1,63rd NFA - 2015,FEATURE,BAAHUBALI - THE BEGINNING,S.S.RAJAMOULI,ARKA MEDIAWORKS,TELGU,BEST FEATURE FILM BEST SPECIAL EFFECT - V. SRINIVAS MOHAN
2,63rd NFA - 2015,FEATURE,BAJIRAO MASTANI,SANJAY LEELA BHANSALI,EROS INTERNATIONAL AND BHANSALI PRODUCTIONS,HINDI,"BEST DIRECTION BEST SUPPORTING ACTRESS - TANVI AZMI BEST CINEMATOGRAPHY - SUDEEP CHATTERJEE BEST AUDIOGRAPHY (DOUND DESIGNER) - BISHWADEEP CHATTERJEE BEST AUDIOGRAPHY (Re-recordist of the final mixed track) - JUSTIN JOSE BEST PRODUCTION DESIGN - SUJEET SAWANT, SALONI DHATRIK, SRIRAM IYENGAR BEST CHOREOGRAPHY - REMO D'SOUZA"
3,63rd NFA - 2015,FEATURE,BAJRANGI BHAIJAAN,KABIR KHAN,"SALMA KHAN ,SALMAN KHAN & ROCKLINE VENKATESH",HINDI,BEST POPULAR FILM PROVIDING WHOLESOME ENTERTAINMENT
4,63rd NFA - 2015,FEATURE,BEN,DR. SAJAN K. GEORGE,VIBGYOR CINEMA,MALAYALAM,BEST CHILD ARTIST - GAURAV MENON
5,63rd NFA - 2015,FEATURE,CHAUTHI KOOT,GURVINDER SINGH,NATIONAL FILM DEVELOPMENT CORPORATION & THE FILM CAFE ENTERTAINMENT PVT. LTD,NA,BEST PUNJABI FILM
6,63rd NFA - 2015,FEATURE,DAU HUDUNI METHAI,MANJU BORAH,SHIVEN ARTS,BODO,BEST BODO FILM
7,63rd NFA - 2015,FEATURE,DUM LAGA KE HAISHA,SHARAT KATARIYA,MANEESH SHARMA,HINDI,BEST FEMALE PLAYBACK SINGER - MONALI THAKUR BEST LYRICS - VARUN GROVER BEST HINDI FILM
8,63rd NFA - 2015,FEATURE,DURONTO,SOUMENDRA PADHI,CODE RED FILMS,HINDI,BEST CHILDREN'S FILM
9,63rd NFA - 2015,FEATURE,EIBUSU YAOHANBIYU,MAIPAKSANA HAORONGBAM,LIVING ART (Y. HITALAR SINGH [NETA]),MANIPURI,BEST MANIPURI FILM
10,63rd NFA - 2015,FEATURE,ENEMY,DINESH P. BHONSLE,PRASAD CREATIONS,KONKANI,BEST KONKANI FILM
11,63rd NFA - 2015,FEATURE,ENNU NINTE MOIDEEN,R.S. VIMAL,"SURESH RAJ, BINOY SHANKARATH & RAGY THOMAS",MALAYALAM,BEST MUSIC DIRECTION (Songs) - M. JAYACHANDRAN
12,63rd NFA - 2015,FEATURE,IRUDHI SUTTRU,SUDHA KONGARA,S. SASHIKANTH,TAMIL,SPECIAL MENTION
13,63rd NFA - 2015,FEATURE,KANCHE,RADHA KRISHNA JAGARLAMUDI,FIRST FRAME ENTERTAINMENTS PVT. LTD,TELUGU,BEST TELUGU FILM
14,63rd NFA - 2015,FEATURE,KATYAR KALJAT GHUSLI,SUBODH BHAVE,SUNIL PHADTARE,MARATHI,BEST MALE PLAYBACK SINGER - MAHESH KALE
15,63rd NFA - 2015,FEATURE,KIMA’S LODE BEYOND THE CLASS,ZUALA CHHANGTE,CHILDREN'S FILM SOCIETY OF INDIA,MIZO,BEST MIZO FILM
16,63rd NFA - 2015,FEATURE,KOTHANODI,BHASKAR HAZARIKA,METANORMAL MOTION PICTURES,ASSAMESE,BEST ASSAMESE FILM
17,63rd NFA - 2015,FEATURE,LUKKA CHUPPI,BASH MOHAMMED,BASH MOHAMMED,MALAYALAM,SPECIAL MENTION
18,63rd NFA - 2015,FEATURE,MARGARITA WITH STRAW,"SHONALI BOSE, NILESH MANIYAR","SHONALI BOSE, NILESH MANIYAR",HINDI |,SPECIAL JURY AWARD
19,63rd NFA - 2015,FEATURE,MASAAN,NEERAJ GHAYWAN,"PHANTOM FILMS, DRISHYAM FILMS, MACASSAR PRODUCTIONS AND SIKHYA ENTERTAINMENT",HINDI,INDIRA GANDHI AWARD FOR BEST DEBUT FILM OF A DIRECTOR
20,63rd NFA - 2015,FEATURE,MITHILA MAKHAAN,NITIN CHANDRA,CHAMPARAN TALKIES & ASWATHA TREE,MAITHILI,BEST MAITHILI FILM
21,63rd NFA - 2015,FEATURE,NANAK SHAH FAKIR,A. K. BIR,GURBANI MEDIA PRIVATE LIMITED HARINDER S. SIKKA),HINDI,"NARGIS DUTT AWARD FOR BEST FEATURE FILM ON NATIONAL INTEGRATION BEST COSTUME DESIGNER - PAYAL SALUJA BEST MAKE-UP ARTIST - CLOVER WOOTTON, PREETISHEEL SINGH"
22,63rd NFA - 2015,FEATURE,NIRNAYAKAM,V.K. PRAKASH,JAIRAJ FILMS,MALAYALAM,BEST FILM ON SOCIAL ISSUES
23,63rd NFA - 2015,FEATURE,ONAATAH,PRADIP KURBAH,KURBAH FILMS,KHASI,BEST KHASI FILM
24,63rd NFA - 2015,FEATURE,PAHADA RA LUHA,SABYASACHI MOHAPATRA,MOHAPATRA MOVIE MAGIC PVT. LTD,ODIYA,BEST ODIYA FILM
25,63rd NFA - 2015,FEATURE,PATHEMARI,SALIM AHAMED,ALLENS MEDIA,MALAYALAM,BEST MALAYALAM FILM
26,63rd NFA - 2015,FEATURE,PIKU,SHOOJIT SIRCAR,MSM MOTION PICTURES & SARASWATI ENTERTAINMENT AND RISING SUN FILMS,HINDI,BEST ACTOR - AMITABH BACHCHAN BEST Screenplay Writer (Original) & BEST SCREENPLAY (DIALOGUE) - JUHI CHATURVEDI
27,63rd NFA - 2015,FEATURE,PRIYAMANASAM,VINOD MANKARA,SOMA CREATIONS,SANSKRI,BEST SANSKRIT FILM
